timesteps,episode_reward,episode_length
20072,4.568795,134
20128,-0.796442,12
20152,1.908258,128
20208,4.959195,71
20224,7.390895,185
20224,-0.50187,31
20328,-1.451535,13
20344,-0.727334,24
20392,-0.21534,23
20408,1.665829,35
20488,2.611582,79
20584,-1.044797,22
20744,11.362486,140
20768,-1.248537,23
20880,2.464964,49
20984,0.859835,27
21000,4.576373,97
21056,7.300173,91
21064,6.87852,84
21112,0.204655,7
21128,0.177095,31
21136,0.723029,133
21192,-1.115732,7
21200,-0.57298,11
21344,4.709317,45
21408,0.933712,43
21416,1.139605,36
21432,0.362189,11
21896,3.426062,61
21920,5.657134,90
22032,5.868842,105
22064,10.549587,215
22112,-0.315115,10
22208,-0.661163,18
22232,-0.930526,102
22528,2.585188,223
22544,4.604866,81
22560,8.44042,195
22592,2.766498,145
22608,3.833645,47
22616,-1.382287,51
22616,0.555445,7
22624,1.99,1
22904,3.085273,99
23000,0.769283,135
23176,2.104023,73
23232,7.109214,77
23264,5.362965,80
23272,-2.099552,91
23272,-1.586963,5
23352,0.08062,11
23400,0.672033,50
23472,3.680857,71
23752,1.648131,72
23760,-1.224155,1
23784,1.374586,64
23800,-1.329847,2
23880,5.324626,76
23880,-1.976106,15
23888,0.833408,170
23944,4.233221,74
24088,10.140066,77
24096,-0.486723,27
24104,5.332872,187
24112,2.478806,29
24200,1.382507,32
24472,6.154049,73
24560,2.688302,59
24568,6.062341,59
24600,2.721329,50
24616,-0.872539,2
24632,-1.600635,8
24664,0.157534,4
24752,10.068871,169
24856,6.322343,93
24944,0.339055,41
24952,0.711316,12
24952,-1.653236,25
25024,8.089105,153
25072,0.865521,15
25088,-1.754188,18
25096,-0.901394,3
25120,-0.740565,3
25144,4.114853,130
25152,-0.769585,1
25184,0.190048,8
25240,0.392272,11
25384,4.300383,54
25392,1.14228,46
25408,10.389044,93
25440,0.282079,25
25448,-0.529204,7
25480,7.420923,37
25496,4.8528,128
25648,2.83487,25
25680,1.124584,25
25864,-1.208226,23
25992,5.323317,73
26008,1.615583,115
26024,-0.735362,2
26056,4.201645,51
26120,7.230794,78
26176,-0.526505,7
26288,2.011052,53
26336,6.476775,112
26480,7.253025,137
26496,12.341541,242
26512,2.500652,4
26680,6.408684,78
26696,0.383364,25
26768,3.632847,9
26880,7.32832,74
26896,9.554993,70
26952,-1.041186,9
26968,-0.284927,9
26976,5.034742,119
27160,0.441962,23
27304,5.604246,67
27312,1.26846,100
27328,-0.942312,2
27352,5.206863,84
27368,-1.002427,5
27384,-0.682232,4
27400,10.600428,176
27440,12.16369,158
27728,2.205434,43
27768,7.656503,76
27912,0.406476,18
28144,10.309767,97
28200,5.716363,156
28208,8.026479,101
28272,1.454693,16
28312,15.816277,168
28336,5.39799,76
28376,-0.74421,8
28488,-0.140414,14
28560,2.879439,44
28592,4.758836,40
28640,-1.740867,6
28656,6.998534,93
28776,4.860937,72
28800,15.465452,187
28808,-0.635479,1
28824,-1.295325,2
28840,-1.150238,2
28848,1.30792,26
28872,-1.480451,3
28944,1.744595,57
28976,-0.768794,4
29128,4.123699,71
29144,1.603297,34
29200,0.675393,9
29224,-1.861137,10
29368,-0.226272,18
29472,11.105691,102
29480,16.880729,255
29520,-1.378244,5
29632,4.2846,54
29680,10.780247,105
29728,8.130565,174
29752,4.720297,48
29792,-0.120945,14
29800,4.107432,41
29888,12.077999,114
29960,4.57457,55
30120,1.04379,61
30176,2.527938,36
30352,5.180623,75
30360,-0.073566,23
30464,5.306334,84
30496,0.019694,17
30544,6.671334,221
30616,3.547113,82
30632,11.468322,113
30672,10.141635,109
30688,1.878618,42
30688,4.145513,71
30696,-0.65861,1
30736,1.817015,34
30792,2.189566,37
30872,1.804591,25
30992,0.663929,47
31040,-0.750684,6
31112,2.358852,71
31248,1.814902,57
31368,6.706901,85
31384,0.113292,43
31416,0.657083,21
31416,2.436381,85
31448,3.995237,72
31488,-0.001746,13
31608,6.839459,114
31648,7.680002,127
31680,4.107068,33
31784,8.419376,84
31808,1.370749,49
31888,-1.151764,13
31976,-0.320914,21
32024,3.512127,17
32072,6.732672,78
32144,5.406023,97
32200,3.375478,74
32312,3.115979,36
32360,5.954048,89
32408,10.560907,91
32472,-1.08872,8
32480,-0.499505,63
32568,3.637052,32
32640,1.106039,55
32696,2.118365,151
32760,3.884383,86
32816,4.268552,57
32864,3.122304,90
32920,1.945894,20
32952,7.171912,48
32968,0.184277,41
32976,4.209802,63
33000,-1.780414,4
33048,0.952071,12
33056,3.791373,24
33072,0.725122,9
33096,9.811034,77
33152,2.948598,29
33216,0.341897,8
33264,1.617575,27
33296,-0.413227,28
33312,6.852039,62
33344,3.086567,36
33344,0.172653,10
33368,3.244812,34
33432,0.922983,8
33472,-1.767742,5
33496,-0.533557,3
33592,1.849892,37
33752,3.95622,67
33768,4.0733,57
33832,7.663428,107
33896,8.477808,69
33904,3.877895,39
33904,-0.754263,9
33984,10.554809,161
34032,8.445866,86
34056,-0.209801,9
34072,0.217447,21
34160,-0.043325,16
34184,3.285634,16
34224,0.805471,19
34232,-0.808831,1
34256,6.329454,63
34272,-0.666652,5
34288,-0.714001,16
34296,11.437063,100
34344,-0.139118,11
34432,8.855841,67
34472,1.894528,36
34512,5.408544,93
34768,1.404215,42
34808,3.217472,67
34872,3.278853,8
34880,-1.508805,1
34888,3.65405,52
34896,5.215547,76
34896,-0.400194,2
34904,4.85931,70
34944,8.707507,130
34944,0.84517,54
34976,0.403939,10
35064,0.918294,20
35072,-1.487571,1
35096,1.148315,25
35160,0.661428,27
35240,0.79984,18
35264,7.390924,121
35296,4.237334,51
35344,-1.343104,6
35344,0.64908,23
35392,-0.75883,6
35408,3.111095,42
35424,7.999337,82
35432,-0.067605,57
35512,2.368345,13
35704,4.06705,55
35736,9.034648,99
35768,5.534418,47
35776,1.295654,9
35792,0.080634,7
35848,3.120561,63
35856,2.605889,77
35888,-0.058217,12
35992,4.122395,13
36000,-1.267309,1
36032,-1.441189,22
36048,3.773925,67
36072,4.7536,81
36104,2.182528,84
36200,3.633706,53
36320,7.32095,69
36376,3.491871,47
36376,-0.503196,7
36472,9.46947,78
36512,4.45916,51
36528,-1.366394,2
36616,2.264268,52
36624,-0.117664,31
36640,2.295182,33
36656,-0.447493,23
36784,8.20042,92
36856,2.398081,98
37048,1.730731,65
37088,4.495528,29
37088,-0.769931,5
37136,15.762714,138
37176,3.554759,69
37192,5.127848,72
37240,1.025386,73
37368,5.737332,35
37448,7.091581,101
37464,5.162443,47
37464,-0.894112,34
37568,10.84908,98
37592,3.111578,52
37704,7.68324,42
37720,10.4848,73
37720,2.053823,34
37744,-0.999672,5
37760,-0.868077,2
37760,-2.090238,21
37776,-0.208846,26
37784,-0.693048,1
37816,-0.937698,4
37816,5.920642,44
37840,0.377317,10
37936,-0.774354,15
37944,-2.112348,13
38080,5.417761,77
38160,5.906164,55
38200,2.529465,55
38232,2.475761,19
38240,13.427428,125
38336,4.539017,22
38360,-0.218982,3
38480,13.136603,95
38536,0.873932,90
38640,6.493985,88
38704,1.743452,59
38760,2.663604,102
38816,5.921459,57
38824,-0.146696,8
38848,2.274126,26
38912,1.444275,47
38976,4.680696,34
39160,6.875618,43
39248,5.135742,96
39256,2.618204,54
39264,2.702923,44
39328,0.408742,141
39328,0.041039,9
39344,-0.096053,12
39424,-0.972565,10
39488,2.573773,64
39528,11.624059,161
39560,-0.725039,4
39576,-0.033633,31
39648,6.659915,100
39728,2.153273,38
39760,3.955478,75
39792,5.892423,27
39864,2.652516,9
39880,4.792516,77
40088,8.881179,95
40096,1.589885,42
40192,3.453507,58
40200,9.447451,80
40200,3.907162,40
40256,0.898297,20
40264,1.403187,50
40272,0.043085,9
40288,-1.054221,3
40312,13.018495,103
40440,-0.092327,19
40448,-1.288074,1
40456,5.25458,46
40464,0.32034,24
40480,2.411622,35
40496,11.060417,106
40512,-0.462953,6
40528,4.78244,42
40600,7.76008,43
40624,0.692274,22
40656,0.308175,20
40696,0.439159,27
40704,0.535039,24
40736,-0.838224,5
40768,-0.003846,8
40888,0.300042,33
40928,3.715142,41
41048,4.720194,49
41112,2.800377,23
41144,2.147565,47
41152,4.842076,87
41160,4.61277,53
41192,-0.658365,6
41208,0.043157,6
41216,12.678238,113
41248,8.573987,45
41352,3.871629,17
41504,4.050647,57
41568,10.844824,130
41608,2.924826,52
41760,4.918677,69
41768,3.414897,25
41856,2.809945,31
41872,-0.692157,2
41944,12.910171,99
41976,10.132158,108
41976,-1.704616,13
42032,2.989093,11
42056,2.875532,36
42056,0.086965,10
42104,11.044369,75
42104,10.549396,94
42128,-0.673501,19
42208,5.454389,19
42240,10.441009,124
42256,-0.916724,2
42408,2.585728,25
42496,3.450389,49
42648,7.850675,49
42688,-1.62521,5
42696,3.922086,74
42696,10.929655,117
42736,-1.035393,6
42744,6.298387,77
42776,7.650377,90
42936,8.729811,113
43064,3.184285,40
